Tweet_ID,Date,Text,Author_ID
1091372583553925120,2019-02-01,@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth Has @foxandfriends responded to any of the emails one host dared its viewers to send about Trump/Russia?,2772059550
1091372569327034368,2019-02-01,@DesignationSix @UROCKlive1 @FoxNews @rubytuesday @Starbucks @PhRMA @pfizer @Bayer @BayerUS @GSK @novonordisk @Novartis @Celgene @Amgen @SanofiUS @AstraZeneca @Disney @Arbys @IHOP @MyPillowUSA @OmahaSteaksB2B #grabthembythewallet,35224943
1091371900402573312,2019-02-01,New strategies to reduce the time it takes to translate new discoveries to the clinic. Lauren Becnel of Pfizer will be speaking at #BioITWorldWest on 'Smarter Medical Research &amp; Learning Health Systems through Oncology Real World Data.' https://t.co/C5IVIQxjxZ #BioITWorld https:/,3294564874
1091371876394418176,2019-02-01,New strategies to reduce the time it takes to translate new discoveries to the clinic. Lauren Becnel of @Pfizer will be speaking at #BioITWorldWest on 'Smarter Medical Research &amp; Learning Health Systems through Oncology Real World Data.' https://t.co/VEiosXKf4l #BioITWorld https://t.co/o2GktGOnDt,32615991
1091371554997501954,2019-02-01,Things that make you go... wtf!?  THE BUILDING THAT A REHAB FACILITY HERE IN CT HOLDS THEIR DAILY GROUP SESSIONS IS OWNED BY...  @pfizer!  Swallow that one.   #opioidcrisis #opioidepidemic  @realDonaldTrump,767501778975875072
1091371449099653120,2019-02-01,Vail AZ Newsflash: Vail Resorts (MTN) Shareholder Iat Reinsurance Company LTD Decreased Its Position; Pfizer ... https://t.co/GE1MwlkMdS https://t.co/EXUqLhCbHz,148534842
1091371097491152897,2019-02-01,"@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth Well given how Trump is president, clearly you don’t need to be an expert on anything for right wing media to ask your opinion.",969018656
1091371083029204995,2019-02-01,"@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth jfc, they just want to watch the world burn",124226888
1091370739574353920,2019-02-01,$PFE: Pfizer receives positive CHMP opinion for Vizimpro https://t.co/eRU0CAeeJH,72928001
1091370546321715201,2019-02-01,@pfizer why are you helping promote lies that are destroying our planet? You need to #dobetter and stop putting your profits over our lives. https://t.co/GAJibYtINp,363216087
1091370452843483136,2019-02-01,"@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth When the climate crap finally hits the fan and crises of global warming abound everywhere with people losing life, losing lands, losing liberty, I would wish that all these 'deniers' could be somehow penalized or sued for their irresponsible promotion of global warming as a hoax.",262649174
1091370085191569409,2019-02-01,@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth God that guy sucked. Hope his house floods first.,300706873
1091369957642944515,2019-02-01,"@LauraEboa I think they trusted the team to 'fix the bugs'. HealthTech is complex and it's different from Pharma, it can't be that binary. Now as an investor/board member you only had to look at their partners: Pfizer, GSK, the Cleveland Clinic...",59468449
1091369150080004097,2019-02-01,Pfizer Inc. $PFE Increases to $42.78 https://t.co/Ky2gVsm58T,1085522233043443712
1091368891694149633,2019-02-01,@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth Pretty sure @exxonmobil is quite ok with Climate Change denial.,43134283
1091368649775026176,2019-02-01,@JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth Please stop funding this harmful nonsense!,741982399
1091368608360423426,2019-02-01,@tony_altamirano @JordanUhl @alincome @pfizer @Ford @Expedia @exxonmobil @UHC @KabbageInc @SmartMouth Great question. I guess they're wasting a lot of time and money developing electric cars,127137318
1091367908746383361,2019-02-01,"Ön Bilet satışlarının kapanmasına SON 5 GÜN! Yapı Kredi Bankası ile case çalışması, İzgören Akademi ile eğitim, Pfizer ile Mock Interview kazanarak kariyerin için adım atabilirsin. İndirimli bilet fırsatını kaçırmamak için hemen yerini ayır! Biletler: https://t.co/F2sKZtHFGa'da! https://t.co/NHA3UhFRTR",228504160
